employee_id,first_name,last_name,gender,email,department,designation,manager_name,manager_id,manager_email,attendance,salary
41,Merl,Gawthrop,Female,mgawthrop14@alexa.com,Support,Associate,Cordelia Vosse,MGR123,cvossea7@ucoz.com,absent,"$74,321.88 "
95,Min,Tynnan,Female,mtynnan2m@usnews.com,Operations,Associate,Cordelia Vosse,MGR123,cvossea7@ucoz.com,present,"$68,917.45 "
203,Marita,Leinthall,Male,mleinthall5m@google.de,Finance,Associate,Cordelia Vosse,MGR123,cvossea7@ucoz.com,absent,"$79,104.23 "
391,Frannie,Nucator,Female,fnucatorau@princeton.edu,Sales,Associate,Cordelia Vosse,MGR123,cvossea7@ucoz.com,present,"$63,876.12 "
392,Aindrea,Ghirigori,Male,aghirigoriav@ox.ac.uk,Sales,Associate,Cordelia Vosse,MGR123,cvossea7@ucoz.com,present,"$72,554.91 "
427,Ardella,Blastock,Male,ablastockbu@businessinsider.com,Marketing,Associate,Cordelia Vosse,MGR123,cvossea7@ucoz.com,absent,"$66,203.77 "
428,Oberon,Asson,Female,oassonbv@vk.com,HR,Associate,Cordelia Vosse,MGR123,cvossea7@ucoz.com,present,"$77,890.44 "
473,Nathan,Woollhead,Female,nwoollheadd4@naver.com,Finance,Associate,Cordelia Vosse,MGR123,cvossea7@ucoz.com,present,"$61,345.66 "
526,Iona,Skittrall,Female,iskittrallel@shutterfly.com,Sales,Associate,Cordelia Vosse,MGR123,cvossea7@ucoz.com,absent,"$69,782.33 "
578,Orren,Nickoll,Male,onickollg1@businessweek.com,Engineering,Associate,Cordelia Vosse,MGR123,cvossea7@ucoz.com,present,"$75,128.99 "
625,Skipton,Pixton,Female,spixtonhc@virginia.edu,Sales,Associate,Cordelia Vosse,MGR123,cvossea7@ucoz.com,absent,"$64,501.28 "
788,Hildy,Lytell,Female,hlytelllv@examiner.com,Support,Associate,Cordelia Vosse,MGR123,cvossea7@ucoz.com,present,"$78,445.10 "
819,Hunfredo,Moors,Female,hmoorsmq@last.fm,Operations,Associate,Cordelia Vosse,MGR123,cvossea7@ucoz.com,absent,"$70,891.74 "
889,Ferdy,Finnes,Female,ffinnesoo@ehow.com,Engineering,Associate,Cordelia Vosse,MGR123,cvossea7@ucoz.com,present,"$62,778.56 "
106,Emilio,Mealing,Female,emealing2x@cbslocal.com,Support,Associate,Patricia Loads,MGR135,mspatigj@cbslocal.com,present,"$73,662.41 "
237,Chicky,Rosenstein,Agender,crosenstein6k@spiegel.de,Marketing,Associate,Patricia Loads,MGR135,mspatigj@cbslocal.com,present,"$67,314.87 "
292,Adrianne,Bee,Male,abee83@epa.gov,Finance,Associate,Patricia Loads,MGR135,mspatigj@cbslocal.com,absent,"$79,887.25 "
426,Ezechiel,Berridge,Male,eberridgebt@imdb.com,Sales,Associate,Patricia Loads,MGR135,mspatigj@cbslocal.com,absent,"$65,904.19 "
461,Steffie,Raggatt,Male,sraggattcs@howstuffworks.com,Sales,Associate,Patricia Loads,MGR135,mspatigj@cbslocal.com,present,"$71,228.50 "
575,Gigi,Botwood,Male,gbotwoodfy@digg.com,Marketing,Associate,Patricia Loads,MGR135,mspatigj@cbslocal.com,absent,"$60,772.38 "
612,Rudiger,Adolthine,Female,radolthinegz@patch.com,Sales,Associate,Patricia Loads,MGR135,mspatigj@cbslocal.com,absent,"$76,541.93 "
636,Tiebold,Blackbrough,Male,tblackbroughhn@cdc.gov,Sales,Associate,Patricia Loads,MGR135,mspatigj@cbslocal.com,present,"$68,110.25 "
638,Bearnard,Orneles,Non-binary,borneleshp@ox.ac.uk,Operations,Associate,Patricia Loads,MGR135,mspatigj@cbslocal.com,present,"$74,993.14 "
712,Calla,Sparsholt,Male,csparsholtjr@tinyurl.com,Marketing,Associate,Patricia Loads,MGR135,mspatigj@cbslocal.com,present,"$63,482.71 "
995,Dina,Blitzer,Female,dblitzerrm@google.co.jp,Sales,Associate,Patricia Loads,MGR135,mspatigj@cbslocal.com,absent,"$77,201.85 "
14,Sergei,Salter,Female,ssalterd@slate.com,HR,Associate,Clayton Verrills,MGR246,amadle2@clickbank.net,absent,"$69,604.42 "
58,Swen,Cockett,Agender,scockett1l@amazon.de,HR,Associate,Clayton Verrills,MGR246,amadle2@clickbank.net,absent,"$72,118.67 "
197,Babb,Smith,Female,bsmith5g@wikimedia.org,Marketing,Associate,Clayton Verrills,MGR246,amadle2@clickbank.net,present,"$66,777.34 "
247,Retha,Gellier,Female,rgellier6u@bandcamp.com,Finance,Associate,Clayton Verrills,MGR246,amadle2@clickbank.net,absent,"$78,906.51 "
297,Ody,Buxy,Female,obuxy88@webnode.com,Finance,Associate,Clayton Verrills,MGR246,amadle2@clickbank.net,absent,"$61,992.08 "
328,Ximenez,Townsend,Female,xtownsend93@domainmarket.com,Sales,Associate,Clayton Verrills,MGR246,amadle2@clickbank.net,absent,"$75,441.27 "
415,Kelcy,Pridden,Male,kpriddenbi@msn.com,Support,Associate,Clayton Verrills,MGR246,amadle2@clickbank.net,present,"$64,328.79 "
511,Nevsa,Twelvetrees,Female,ntwelvetreese6@patch.com,Support,Associate,Clayton Verrills,MGR246,amadle2@clickbank.net,present,"$70,555.60 "
722,Kata,Gendricke,Male,kgendrickek1@washington.edu,Finance,Associate,Clayton Verrills,MGR246,amadle2@clickbank.net,present,"$62,119.46 "
733,Jo ann,Hurleston,Female,jannkc@unicef.org,HR,Associate,Clayton Verrills,MGR246,amadle2@clickbank.net,present,"$73,841.92 "
876,Selle,Walak,Male,swalakob@photobucket.com,Marketing,Associate,Clayton Verrills,MGR246,amadle2@clickbank.net,absent,"$67,589.23 "
913,Maddie,Butson,Male,mbutsonpc@alibaba.com,Support,Associate,Clayton Verrills,MGR246,amadle2@clickbank.net,absent,"$79,223.48 "
942,Keeley,Chawner,Female,kchawnerq5@webnode.com,Marketing,Associate,Clayton Verrills,MGR246,amadle2@clickbank.net,present,"$65,112.74 "
190,Nevile,Lanahan,Female,nlanahan59@mail.ru,Sales,Associate,Reidar Rickell,MGR318,afritz1v@diigo.com,absent,"$71,996.30 "
218,Giselle,Plackstone,Female,gplackstone61@mozilla.com,Finance,Associate,Reidar Rickell,MGR318,afritz1v@diigo.com,absent,"$60,418.85 "
359,Jennee,Tingly,Male,jtingly9y@google.fr,Operations,Associate,Reidar Rickell,MGR318,afritz1v@diigo.com,absent,"$76,805.17 "
396,Ettore,Whipp,Female,ewhippaz@sbwire.com,HR,Associate,Reidar Rickell,MGR318,afritz1v@diigo.com,absent,"$68,453.96 "
501,Crystal,Kisby,Female,ckisbydw@posterous.com,Sales,Associate,Reidar Rickell,MGR318,afritz1v@diigo.com,absent,"$74,217.62 "
644,Marni,Munslow,Female,mmunslowhv@deliciousdays.com,Engineering,Associate,Reidar Rickell,MGR318,afritz1v@diigo.com,present,"$63,791.05 "
785,Robert,Karpol,Male,rkarpolls@who.int,Finance,Associate,Reidar Rickell,MGR318,afritz1v@diigo.com,absent,"$77,668.33 "
978,Vanya,South,Female,vsouthr5@scribd.com,Engineering,Associate,Reidar Rickell,MGR318,afritz1v@diigo.com,present,"$69,142.80 "
